Year,State,Metric,Age Range,"Events per 1,000 women"
2010,CA,Abortion Rate,15-17,11.4
2011,CA,Abortion Rate,15-17,9.8
2012,CA,Abortion Rate,15-17,8.5
2013,CA,Abortion Rate,15-17,7.5
2014,CA,Abortion Rate,15-17,6.7
2015,CA,Abortion Rate,15-17,5.8
2016,CA,Abortion Rate,15-17,5.3
1988,CO,Abortion Rate,15-17,28.1
1992,CO,Abortion Rate,15-17,26.5
1996,CO,Abortion Rate,15-17,20.9
2000,CO,Abortion Rate,15-17,12.5
2005,CO,Abortion Rate,15-17,9.3
2006,CO,Abortion Rate,15-17,9.0
2007,CO,Abortion Rate,15-17,9.9
2008,CO,Abortion Rate,15-17,9.1
2009,CO,Abortion Rate,15-17,7.5
2010,CO,Abortion Rate,15-17,7.5
2011,CO,Abortion Rate,15-17,6.2
2012,CO,Abortion Rate,15-17,5.3
2013,CO,Abortion Rate,15-17,4.2
2014,CO,Abortion Rate,15-17,3.8
2015,CO,Abortion Rate,15-17,3.6
2016,CO,Abortion Rate,15-17,2.9
1988,CT,Abortion Rate,15-17,42.4
1992,CT,Abortion Rate,15-17,32.9
1996,CT,Abortion Rate,15-17,26.3
2000,CT,Abortion Rate,15-17,21.3
2005,CT,Abortion Rate,15-17,17.7
2006,CT,Abortion Rate,15-17,17.8
2007,CT,Abortion Rate,15-17,17.8
2008,CT,Abortion Rate,15-17,16.3
2009,CT,Abortion Rate,15-17,14.0
2010,CT,Abortion Rate,15-17,12.2
2011,CT,Abortion Rate,15-17,10.3
2012,CT,Abortion Rate,15-17,8.4
2013,CT,Abortion Rate,15-17,7.4
2014,CT,Abortion Rate,15-17,7.0
2015,CT,Abortion Rate,15-17,6.4
2016,CT,Abortion Rate,15-17,5.4
1988,DE,Abortion Rate,15-17,38.8
1992,DE,Abortion Rate,15-17,29.9
1996,DE,Abortion Rate,15-17,15.7
2000,DE,Abortion Rate,15-17,23.4
2005,DE,Abortion Rate,15-17,16.7
2006,DE,Abortion Rate,15-17,19.1
2007,DE,Abortion Rate,15-17,22.9
2008,DE,Abortion Rate,15-17,22.9
2009,DE,Abortion Rate,15-17,17.2
2010,DE,Abortion Rate,15-17,18.8
2011,DE,Abortion Rate,15-17,14.2
2012,DE,Abortion Rate,15-17,10.9
2013,DE,Abortion Rate,15-17,8.8
2014,DE,Abortion Rate,15-17,7.8
2015,DE,Abortion Rate,15-17,7.4
2016,DE,Abortion Rate,15-17,5.8
2000,DC,Abortion Rate,15-17,51.9
2005,DC,Abortion Rate,15-17,56.0
2006,DC,Abortion Rate,15-17,53.3
2007,DC,Abortion Rate,15-17,44.1
2008,DC,Abortion Rate,15-17,54.5
2009,DC,Abortion Rate,15-17,38.9
2010,DC,Abortion Rate,15-17,33.9
2011,DC,Abortion Rate,15-17,24.5
2012,DC,Abortion Rate,15-17,17.5
2013,DC,Abortion Rate,15-17,30.9
2014,DC,Abortion Rate,15-17,22.0
2015,DC,Abortion Rate,15-17,13.9
2016,DC,Abortion Rate,15-17,10.5
1988,FL,Abortion Rate,15-17,37.9
1992,FL,Abortion Rate,15-17,28.0
1996,FL,Abortion Rate,15-17,26.2
2000,FL,Abortion Rate,15-17,19.6
2005,FL,Abortion Rate,15-17,14.6
2006,FL,Abortion Rate,15-17,14.3
2007,FL,Abortion Rate,15-17,14.4
2008,FL,Abortion Rate,15-17,13.6
2009,FL,Abortion Rate,15-17,12.8
2010,FL,Abortion Rate,15-17,11.5
2011,FL,Abortion Rate,15-17,10.2
2012,FL,Abortion Rate,15-17,8.8
2013,FL,Abortion Rate,15-17,7.599999999999999
2014,FL,Abortion Rate,15-17,6.8
2015,FL,Abortion Rate,15-17,5.9
2016,FL,Abortion Rate,15-17,5.3
1988,GA,Abortion Rate,15-17,26.9
1992,GA,Abortion Rate,15-17,22.0
1996,GA,Abortion Rate,15-17,16.8
2000,GA,Abortion Rate,15-17,11.1
2005,GA,Abortion Rate,15-17,8.8
2006,GA,Abortion Rate,15-17,8.0
2007,GA,Abortion Rate,15-17,8.8
2008,GA,Abortion Rate,15-17,9.6
2009,GA,Abortion Rate,15-17,8.699999999999998
2010,GA,Abortion Rate,15-17,7.8
2011,GA,Abortion Rate,15-17,7.1
2012,GA,Abortion Rate,15-17,6.3
2013,GA,Abortion Rate,15-17,5.0
2014,GA,Abortion Rate,15-17,4.7
2015,GA,Abortion Rate,15-17,4.2
2016,GA,Abortion Rate,15-17,3.9
1988,HI,Abortion Rate,15-17,43.2
1992,HI,Abortion Rate,15-17,50.0
1996,HI,Abortion Rate,15-17,28.5
2000,HI,Abortion Rate,15-17,20.7
2005,HI,Abortion Rate,15-17,17.7
2006,HI,Abortion Rate,15-17,19.1
2007,HI,Abortion Rate,15-17,18.8
2008,HI,Abortion Rate,15-17,16.4
2009,HI,Abortion Rate,15-17,13.8
2010,HI,Abortion Rate,15-17,14.6
2011,HI,Abortion Rate,15-17,13.9
2012,HI,Abortion Rate,15-17,9.7
2013,HI,Abortion Rate,15-17,6.2
2014,HI,Abortion Rate,15-17,6.3
2015,HI,Abortion Rate,15-17,5.4
2016,HI,Abortion Rate,15-17,5.1
1988,ID,Abortion Rate,15-17,10.1
1992,ID,Abortion Rate,15-17,7.4
1996,ID,Abortion Rate,15-17,7.5
2000,ID,Abortion Rate,15-17,5.7
2005,ID,Abortion Rate,15-17,5.1
2006,ID,Abortion Rate,15-17,7.3
2007,ID,Abortion Rate,15-17,5.8
2008,ID,Abortion Rate,15-17,4.1
2009,ID,Abortion Rate,15-17,3.8
2010,ID,Abortion Rate,15-17,3.6
2011,ID,Abortion Rate,15-17,2.6
2012,ID,Abortion Rate,15-17,2.9
2013,ID,Abortion Rate,15-17,1.8
2014,ID,Abortion Rate,15-17,1.5
2015,ID,Abortion Rate,15-17,1.9
2016,ID,Abortion Rate,15-17,1.5
1988,IL,Abortion Rate,15-17,25.6
1992,IL,Abortion Rate,15-17,18.3
1996,IL,Abortion Rate,15-17,24.4
2000,IL,Abortion Rate,15-17,18.9
2005,IL,Abortion Rate,15-17,13.1
2006,IL,Abortion Rate,15-17,12.6
2007,IL,Abortion Rate,15-17,12.8
2008,IL,Abortion Rate,15-17,13.4
2009,IL,Abortion Rate,15-17,11.5
2010,IL,Abortion Rate,15-17,10.2
2011,IL,Abortion Rate,15-17,9.2
2012,IL,Abortion Rate,15-17,8.099999999999998
2013,IL,Abortion Rate,15-17,7.0
2014,IL,Abortion Rate,15-17,5.5
2015,IL,Abortion Rate,15-17,5.1
2016,IL,Abortion Rate,15-17,4.6
1988,IN,Abortion Rate,15-17,14.8
1992,IN,Abortion Rate,15-17,12.6
1996,IN,Abortion Rate,15-17,10.9
2000,IN,Abortion Rate,15-17,7.1
2005,IN,Abortion Rate,15-17,5.1
2006,IN,Abortion Rate,15-17,4.8
2007,IN,Abortion Rate,15-17,4.8
2008,IN,Abortion Rate,15-17,4.7
2009,IN,Abortion Rate,15-17,4.8
2010,IN,Abortion Rate,15-17,3.9
2011,IN,Abortion Rate,15-17,3.0
2012,IN,Abortion Rate,15-17,2.8
2013,IN,Abortion Rate,15-17,2.8
2014,IN,Abortion Rate,15-17,2.5
2015,IN,Abortion Rate,15-17,2.1
2016,IN,Abortion Rate,15-17,2.0
1988,IA,Abortion Rate,15-17,18.2
1992,IA,Abortion Rate,15-17,10.2
1996,IA,Abortion Rate,15-17,7.7
2000,IA,Abortion Rate,15-17,7.4
2005,IA,Abortion Rate,15-17,6.1
2006,IA,Abortion Rate,15-17,6.5
2007,IA,Abortion Rate,15-17,6.9
2008,IA,Abortion Rate,15-17,6.0
2009,IA,Abortion Rate,15-17,5.8
2010,IA,Abortion Rate,15-17,5.3
2011,IA,Abortion Rate,15-17,4.2
2012,IA,Abortion Rate,15-17,3.7
2013,IA,Abortion Rate,15-17,2.7
2014,IA,Abortion Rate,15-17,2.7
2015,IA,Abortion Rate,15-17,2.7
2016,IA,Abortion Rate,15-17,2.2
1988,KS,Abortion Rate,15-17,21.7
1992,KS,Abortion Rate,15-17,16.0
1996,KS,Abortion Rate,15-17,12.1
2000,KS,Abortion Rate,15-17,7.599999999999999
2005,KS,Abortion Rate,15-17,5.7
2006,KS,Abortion Rate,15-17,5.8
2007,KS,Abortion Rate,15-17,5.4
2008,KS,Abortion Rate,15-17,5.3
2009,KS,Abortion Rate,15-17,4.3
2010,KS,Abortion Rate,15-17,2.9
2011,KS,Abortion Rate,15-17,2.6
2012,KS,Abortion Rate,15-17,2.5
2013,KS,Abortion Rate,15-17,2.2
2014,KS,Abortion Rate,15-17,1.8
2015,KS,Abortion Rate,15-17,1.6
2016,KS,Abortion Rate,15-17,1.6
1988,KY,Abortion Rate,15-17,17.3
1992,KY,Abortion Rate,15-17,15.1
1996,KY,Abortion Rate,15-17,7.7
2000,KY,Abortion Rate,15-17,4.8
2005,KY,Abortion Rate,15-17,4.2
2006,KY,Abortion Rate,15-17,4.2
2007,KY,Abortion Rate,15-17,4.7
2008,KY,Abortion Rate,15-17,4.2
2009,KY,Abortion Rate,15-17,4.7
2010,KY,Abortion Rate,15-17,3.9
2011,KY,Abortion Rate,15-17,3.7
2012,KY,Abortion Rate,15-17,2.8
2013,KY,Abortion Rate,15-17,2.4
2014,KY,Abortion Rate,15-17,2.6
2015,KY,Abortion Rate,15-17,1.9
2016,KY,Abortion Rate,15-17,1.7
1988,LA,Abortion Rate,15-17,13.8
1992,LA,Abortion Rate,15-17,9.2
1996,LA,Abortion Rate,15-17,10.0
2000,LA,Abortion Rate,15-17,6.6
2005,LA,Abortion Rate,15-17,5.1
2006,LA,Abortion Rate,15-17,6.3
2007,LA,Abortion Rate,15-17,7.1
2008,LA,Abortion Rate,15-17,7.8
2009,LA,Abortion Rate,15-17,7.2
2010,LA,Abortion Rate,15-17,6.9
2011,LA,Abortion Rate,15-17,5.8
2012,LA,Abortion Rate,15-17,4.7
2013,LA,Abortion Rate,15-17,3.9
2014,LA,Abortion Rate,15-17,3.3
2015,LA,Abortion Rate,15-17,3.3
2016,LA,Abortion Rate,15-17,3.8
1988,ME,Abortion Rate,15-17,24.5
1992,ME,Abortion Rate,15-17,14.1
1996,ME,Abortion Rate,15-17,12.2
2000,ME,Abortion Rate,15-17,9.2
2005,ME,Abortion Rate,15-17,7.5
2006,ME,Abortion Rate,15-17,7.2
2007,ME,Abortion Rate,15-17,7.4
2008,ME,Abortion Rate,15-17,6.8
2009,ME,Abortion Rate,15-17,6.0
2010,ME,Abortion Rate,15-17,4.5
2011,ME,Abortion Rate,15-17,4.4
2012,ME,Abortion Rate,15-17,4.5
2013,ME,Abortion Rate,15-17,4.7
2014,ME,Abortion Rate,15-17,4.1
2015,ME,Abortion Rate,15-17,3.5
2016,ME,Abortion Rate,15-17,3.1
1988,MD,Abortion Rate,15-17,42.7
1992,MD,Abortion Rate,15-17,36.6
1996,MD,Abortion Rate,15-17,30.0
2000,MD,Abortion Rate,15-17,22.8
2005,MD,Abortion Rate,15-17,13.1
2006,MD,Abortion Rate,15-17,12.2
2007,MD,Abortion Rate,15-17,12.1
2008,MD,Abortion Rate,15-17,12.2
2009,MD,Abortion Rate,15-17,12.2
2010,MD,Abortion Rate,15-17,11.9
2011,MD,Abortion Rate,15-17,12.6
2012,MD,Abortion Rate,15-17,9.7
2013,MD,Abortion Rate,15-17,9.8
2014,MD,Abortion Rate,15-17,8.0
2015,MD,Abortion Rate,15-17,6.9
2016,MD,Abortion Rate,15-17,6.2
1988,MA,Abortion Rate,15-17,34.5
1992,MA,Abortion Rate,15-17,21.3
1996,MA,Abortion Rate,15-17,21.5
2000,MA,Abortion Rate,15-17,14.1
2005,MA,Abortion Rate,15-17,11.2
2006,MA,Abortion Rate,15-17,11.0
2007,MA,Abortion Rate,15-17,10.4
2008,MA,Abortion Rate,15-17,8.8
2009,MA,Abortion Rate,15-17,8.699999999999998
2010,MA,Abortion Rate,15-17,7.2
2011,MA,Abortion Rate,15-17,7.1
2012,MA,Abortion Rate,15-17,6.0
2013,MA,Abortion Rate,15-17,4.5
2014,MA,Abortion Rate,15-17,4.3
2015,MA,Abortion Rate,15-17,3.7
2016,MA,Abortion Rate,15-17,3.1
1988,MI,Abortion Rate,15-17,34.5
1992,MI,Abortion Rate,15-17,23.0
1996,MI,Abortion Rate,15-17,18.4
2000,MI,Abortion Rate,15-17,14.4
2005,MI,Abortion Rate,15-17,11.2
2006,MI,Abortion Rate,15-17,10.5
2007,MI,Abortion Rate,15-17,9.9
2008,MI,Abortion Rate,15-17,10.4
2009,MI,Abortion Rate,15-17,9.5
2010,MI,Abortion Rate,15-17,8.199999999999998
2011,MI,Abortion Rate,15-17,6.6
2012,MI,Abortion Rate,15-17,5.8
2013,MI,Abortion Rate,15-17,4.9
2014,MI,Abortion Rate,15-17,4.4
2015,MI,Abortion Rate,15-17,3.8
2016,MI,Abortion Rate,15-17,3.8
1988,MN,Abortion Rate,15-17,19.0
1992,MN,Abortion Rate,15-17,10.8
1996,MN,Abortion Rate,15-17,9.7
2000,MN,Abortion Rate,15-17,6.6
2005,MN,Abortion Rate,15-17,5.6
2006,MN,Abortion Rate,15-17,6.1
2007,MN,Abortion Rate,15-17,5.8
2008,MN,Abortion Rate,15-17,5.2
2009,MN,Abortion Rate,15-17,4.7
2010,MN,Abortion Rate,15-17,3.9
2011,MN,Abortion Rate,15-17,3.8
2012,MN,Abortion Rate,15-17,3.3
2013,MN,Abortion Rate,15-17,2.5
2014,MN,Abortion Rate,15-17,2.4
2015,MN,Abortion Rate,15-17,2.1
2016,MN,Abortion Rate,15-17,2.4
1988,MS,Abortion Rate,15-17,12.7
1992,MS,Abortion Rate,15-17,13.9
1996,MS,Abortion Rate,15-17,8.8
2000,MS,Abortion Rate,15-17,9.1
2005,MS,Abortion Rate,15-17,5.5
2006,MS,Abortion Rate,15-17,5.7
2007,MS,Abortion Rate,15-17,6.2
2008,MS,Abortion Rate,15-17,6.3
2009,MS,Abortion Rate,15-17,4.6
2010,MS,Abortion Rate,15-17,5.1
2011,MS,Abortion Rate,15-17,3.9
2012,MS,Abortion Rate,15-17,4.0
2013,MS,Abortion Rate,15-17,4.0
2014,MS,Abortion Rate,15-17,3.0
2015,MS,Abortion Rate,15-17,2.8
2016,MS,Abortion Rate,15-17,2.6
1988,MO,Abortion Rate,15-17,17.8
1992,MO,Abortion Rate,15-17,13.1
1996,MO,Abortion Rate,15-17,9.7
2000,MO,Abortion Rate,15-17,6.7
2005,MO,Abortion Rate,15-17,5.6
2006,MO,Abortion Rate,15-17,6.3
2007,MO,Abortion Rate,15-17,6.5
2008,MO,Abortion Rate,15-17,5.9
2009,MO,Abortion Rate,15-17,5.3
2010,MO,Abortion Rate,15-17,4.4
2011,MO,Abortion Rate,15-17,4.3
2012,MO,Abortion Rate,15-17,3.9
2013,MO,Abortion Rate,15-17,2.9
2014,MO,Abortion Rate,15-17,2.3
2015,MO,Abortion Rate,15-17,2.2
2016,MO,Abortion Rate,15-17,2.4
1988,MT,Abortion Rate,15-17,18.4
1992,MT,Abortion Rate,15-17,17.0
1996,MT,Abortion Rate,15-17,11.6
2000,MT,Abortion Rate,15-17,9.3
2005,MT,Abortion Rate,15-17,9.2
2006,MT,Abortion Rate,15-17,6.9
2007,MT,Abortion Rate,15-17,6.8
2008,MT,Abortion Rate,15-17,6.8
2009,MT,Abortion Rate,15-17,6.6
2010,MT,Abortion Rate,15-17,5.3
2011,MT,Abortion Rate,15-17,5.6
2012,MT,Abortion Rate,15-17,4.7
2013,MT,Abortion Rate,15-17,3.7
2014,MT,Abortion Rate,15-17,3.5
2015,MT,Abortion Rate,15-17,3.8
2016,MT,Abortion Rate,15-17,3.3
1988,NE,Abortion Rate,15-17,19.2
1992,NE,Abortion Rate,15-17,11.0
1996,NE,Abortion Rate,15-17,8.199999999999998
2000,NE,Abortion Rate,15-17,7.8
2005,NE,Abortion Rate,15-17,4.7
2006,NE,Abortion Rate,15-17,3.6
2007,NE,Abortion Rate,15-17,3.6
2008,NE,Abortion Rate,15-17,3.8
2009,NE,Abortion Rate,15-17,3.9
2010,NE,Abortion Rate,15-17,3.4
2011,NE,Abortion Rate,15-17,3.9
2012,NE,Abortion Rate,15-17,3.0
2013,NE,Abortion Rate,15-17,2.2
2014,NE,Abortion Rate,15-17,1.8
2015,NE,Abortion Rate,15-17,1.8
2016,NE,Abortion Rate,15-17,1.7
1988,NV,Abortion Rate,15-17,36.6
1992,NV,Abortion Rate,15-17,35.1
1996,NV,Abortion Rate,15-17,34.6
2000,NV,Abortion Rate,15-17,23.3
2005,NV,Abortion Rate,15-17,16.6
2006,NV,Abortion Rate,15-17,16.6
2007,NV,Abortion Rate,15-17,14.9
2008,NV,Abortion Rate,15-17,14.6
2009,NV,Abortion Rate,15-17,13.0
2010,NV,Abortion Rate,15-17,11.2
2011,NV,Abortion Rate,15-17,9.5
2012,NV,Abortion Rate,15-17,7.7
2013,NV,Abortion Rate,15-17,5.7
2014,NV,Abortion Rate,15-17,5.5
2015,NV,Abortion Rate,15-17,5.9
2016,NV,Abortion Rate,15-17,5.0
1988,NH,Abortion Rate,15-17,36.6
1992,NH,Abortion Rate,15-17,12.5
1996,NH,Abortion Rate,15-17,12.8
2000,NH,Abortion Rate,15-17,9.4
2005,NH,Abortion Rate,15-17,6.0
2006,NH,Abortion Rate,15-17,5.8
2007,NH,Abortion Rate,15-17,5.6
2008,NH,Abortion Rate,15-17,4.7
2009,NH,Abortion Rate,15-17,4.7
2010,NH,Abortion Rate,15-17,4.0
2011,NH,Abortion Rate,15-17,4.8
2012,NH,Abortion Rate,15-17,4.2
2013,NH,Abortion Rate,15-17,3.7
2014,NH,Abortion Rate,15-17,3.5
2015,NH,Abortion Rate,15-17,3.1
2016,NH,Abortion Rate,15-17,3.0
1988,NJ,Abortion Rate,15-17,38.2
1992,NJ,Abortion Rate,15-17,29.7
1996,NJ,Abortion Rate,15-17,31.9
2000,NJ,Abortion Rate,15-17,29.5
2005,NJ,Abortion Rate,15-17,24.4
2006,NJ,Abortion Rate,15-17,20.7
2007,NJ,Abortion Rate,15-17,17.0
2008,NJ,Abortion Rate,15-17,18.7
2009,NJ,Abortion Rate,15-17,14.3
2010,NJ,Abortion Rate,15-17,13.8
2011,NJ,Abortion Rate,15-17,13.5
2012,NJ,Abortion Rate,15-17,9.2
2013,NJ,Abortion Rate,15-17,9.1
2014,NJ,Abortion Rate,15-17,8.0
2015,NJ,Abortion Rate,15-17,8.8
2016,NJ,Abortion Rate,15-17,9.0
1988,NM,Abortion Rate,15-17,25.3
1992,NM,Abortion Rate,15-17,21.1
1996,NM,Abortion Rate,15-17,16.4
2000,NM,Abortion Rate,15-17,15.0
2005,NM,Abortion Rate,15-17,11.7
2006,NM,Abortion Rate,15-17,12.5
2007,NM,Abortion Rate,15-17,12.5
2008,NM,Abortion Rate,15-17,11.4
2009,NM,Abortion Rate,15-17,10.9
2010,NM,Abortion Rate,15-17,9.5
2011,NM,Abortion Rate,15-17,8.3
2012,NM,Abortion Rate,15-17,7.599999999999999
2013,NM,Abortion Rate,15-17,6.0
2014,NM,Abortion Rate,15-17,5.3
2015,NM,Abortion Rate,15-17,4.7
2016,NM,Abortion Rate,15-17,5.2
1988,NY,Abortion Rate,15-17,41.6
1992,NY,Abortion Rate,15-17,41.0
1996,NY,Abortion Rate,15-17,34.1
2000,NY,Abortion Rate,15-17,31.4
2005,NY,Abortion Rate,15-17,27.4
2006,NY,Abortion Rate,15-17,26.6
2007,NY,Abortion Rate,15-17,24.8
2008,NY,Abortion Rate,15-17,24.4
2009,NY,Abortion Rate,15-17,23.0
2010,NY,Abortion Rate,15-17,20.7
2011,NY,Abortion Rate,15-17,18.7
2012,NY,Abortion Rate,15-17,15.9
2013,NY,Abortion Rate,15-17,12.9
2014,NY,Abortion Rate,15-17,11.8
2015,NY,Abortion Rate,15-17,10.6
2016,NY,Abortion Rate,15-17,9.6
1988,NC,Abortion Rate,15-17,33.8
1992,NC,Abortion Rate,15-17,23.6
1996,NC,Abortion Rate,15-17,16.3
2000,NC,Abortion Rate,15-17,12.8
2005,NC,Abortion Rate,15-17,8.8
2006,NC,Abortion Rate,15-17,8.699999999999998
2007,NC,Abortion Rate,15-17,8.3
2008,NC,Abortion Rate,15-17,7.8
2009,NC,Abortion Rate,15-17,7.599999999999999
2010,NC,Abortion Rate,15-17,6.9
2011,NC,Abortion Rate,15-17,5.4
2012,NC,Abortion Rate,15-17,5.2
2013,NC,Abortion Rate,15-17,4.7
2014,NC,Abortion Rate,15-17,4.0
2015,NC,Abortion Rate,15-17,3.7
2016,NC,Abortion Rate,15-17,3.0
1988,ND,Abortion Rate,15-17,8.3
1992,ND,Abortion Rate,15-17,7.1
1996,ND,Abortion Rate,15-17,7.5
2000,ND,Abortion Rate,15-17,4.8
2005,ND,Abortion Rate,15-17,4.2
2006,ND,Abortion Rate,15-17,3.0
2007,ND,Abortion Rate,15-17,4.6
2008,ND,Abortion Rate,15-17,3.7
2009,ND,Abortion Rate,15-17,4.6
2010,ND,Abortion Rate,15-17,3.9
2011,ND,Abortion Rate,15-17,2.6
2012,ND,Abortion Rate,15-17,2.9
2013,ND,Abortion Rate,15-17,2.4
2014,ND,Abortion Rate,15-17,2.1
2015,ND,Abortion Rate,15-17,1.7
2016,ND,Abortion Rate,15-17,2.3
1988,OH,Abortion Rate,15-17,19.1
1992,OH,Abortion Rate,15-17,12.1
1996,OH,Abortion Rate,15-17,11.5
2000,OH,Abortion Rate,15-17,10.2
2005,OH,Abortion Rate,15-17,8.4
2006,OH,Abortion Rate,15-17,8.4
2007,OH,Abortion Rate,15-17,8.8
2008,OH,Abortion Rate,15-17,8.0
2009,OH,Abortion Rate,15-17,7.3
2010,OH,Abortion Rate,15-17,6.6
2011,OH,Abortion Rate,15-17,5.5
2012,OH,Abortion Rate,15-17,4.9
2013,OH,Abortion Rate,15-17,4.0
2014,OH,Abortion Rate,15-17,3.7
2015,OH,Abortion Rate,15-17,2.8
2016,OH,Abortion Rate,15-17,2.8
1988,OK,Abortion Rate,15-17,19.0
1992,OK,Abortion Rate,15-17,9.0
1996,OK,Abortion Rate,15-17,8.0
2000,OK,Abortion Rate,15-17,7.8
2005,OK,Abortion Rate,15-17,5.8
2006,OK,Abortion Rate,15-17,5.0
2007,OK,Abortion Rate,15-17,5.7
2008,OK,Abortion Rate,15-17,5.0
2009,OK,Abortion Rate,15-17,5.5
2010,OK,Abortion Rate,15-17,4.3
2011,OK,Abortion Rate,15-17,3.8
2012,OK,Abortion Rate,15-17,3.7
2013,OK,Abortion Rate,15-17,2.9
2014,OK,Abortion Rate,15-17,2.9
2015,OK,Abortion Rate,15-17,2.2
2016,OK,Abortion Rate,15-17,1.3
1988,OR,Abortion Rate,15-17,29.5
1992,OR,Abortion Rate,15-17,21.2
1996,OR,Abortion Rate,15-17,17.6
2000,OR,Abortion Rate,15-17,15.0
2005,OR,Abortion Rate,15-17,9.6
2006,OR,Abortion Rate,15-17,10.6
2007,OR,Abortion Rate,15-17,10.2
2008,OR,Abortion Rate,15-17,9.8
2009,OR,Abortion Rate,15-17,8.199999999999998
2010,OR,Abortion Rate,15-17,6.8
2011,OR,Abortion Rate,15-17,6.2
2012,OR,Abortion Rate,15-17,5.2
2013,OR,Abortion Rate,15-17,4.8
2014,OR,Abortion Rate,15-17,4.6
2015,OR,Abortion Rate,15-17,3.6
2016,OR,Abortion Rate,15-17,3.6
1988,PA,Abortion Rate,15-17,22.9
1992,PA,Abortion Rate,15-17,18.3
1996,PA,Abortion Rate,15-17,11.4
2000,PA,Abortion Rate,15-17,9.7
2005,PA,Abortion Rate,15-17,7.8
2006,PA,Abortion Rate,15-17,8.5
2007,PA,Abortion Rate,15-17,9.2
2008,PA,Abortion Rate,15-17,10.0
2009,PA,Abortion Rate,15-17,9.5
2010,PA,Abortion Rate,15-17,8.199999999999998
2011,PA,Abortion Rate,15-17,6.9
2012,PA,Abortion Rate,15-17,5.7
2013,PA,Abortion Rate,15-17,4.6
2014,PA,Abortion Rate,15-17,4.4
2015,PA,Abortion Rate,15-17,4.2
2016,PA,Abortion Rate,15-17,4.0
1988,RI,Abortion Rate,15-17,18.7
1992,RI,Abortion Rate,15-17,17.4
1996,RI,Abortion Rate,15-17,14.9
2000,RI,Abortion Rate,15-17,11.7
2005,RI,Abortion Rate,15-17,11.4
2006,RI,Abortion Rate,15-17,10.7
2007,RI,Abortion Rate,15-17,10.2
2008,RI,Abortion Rate,15-17,10.4
2009,RI,Abortion Rate,15-17,9.0
